,Protein Name,,Gene Name,,CDDB Family Group Name,,Accession Number,,Technique,
,cation-dependent mannose-6-phosphate receptor,,M6pr,,Membrane Trafficking Proteins,,NP_001007701,,5,
,Caveolin-1,,CAV,,Membrane trafficking proteins,,NP_598412,,10c,
,CD151 antigen ,,CD151,,Adhesion proteins and collagens,,NP_071968,,10c,
,CD166 antigen precursor ,,ALCAM,,Adhesion proteins and collagens,,NP_113941,,"6,10c,10b",
,CD36 antigen ,,Scarb2,,Membrane Receptor,,NP_446453,,5,
,CD40 ligand ,,CD40LG,,Signal proteins,,NP_445805,,10a,
,CD48 antigen precursor ,,CD48,,Signal proteins,,NP_620803,,10c,
,CD59 (protectin),,CD59,,Miscellaneous proteins,,NP_037057,,"4,5,10c",
,CD9 antigen,,CD9,,Adhesion Proteins and Collagens,,NP_031683,,6,
,chloride channel K1 ,,Clcnk1,,Transporters and Channels,,NP_445779,,5,
,Chloride channel protein ClC-Ka ,,CLCNKA,,Transporters and channels,,NP_077723,,10c,
,chloride intracellular channel 1,,Clic1,,Transporters and Channels,,NP_001002807,,"3,4",
,Chloride intracellular channel protein 4 ,,CLIC4,,Transporters and channels,,NP_114006,,10a,
,chloride ion pump-associated 55 kDa protein,,Pcyox1,,Ion Pumps,,NP_659553,,5,
,"cholinergic receptor, nicotinic, delta polypeptide",,Chrnd,,Transporters and Channels,,NP_062171,,6,
,"Class I histocompatibility antigen, Non-RT1A alpha-1 chain precursor",,RT1-AW2,,Miscellaneous proteins,,NP_036777,,10c,
,claudin 4 ,,Cldn4,,Transporters and Channels,,NP_034033,,5,
,coated vesicle membrane protein; emp24,,Rnp24,,Membrane Trafficking Proteins,,NP_113910,,5,
,Contactin-1 precursor ,,CNTN1,,Signal proteins,,NP_476459,,10c,
,cytochrome b-5,,Cyb5,,Metabolism Proteins (energy metabolism),,NP_071581,,"5,6",
,"cytochrome b5, outer mitochondrial membrane isoform",,Cyb5m,,Metabolism Proteins (energy metabolism),,NP_085075,,6,
,Cytochrome c oxidase subunit 2 ,,MTCO2,,Metabolism proteins,,YP_665632,,"10c,10b",
,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial precursor",,COX4I1,,Metabolism Proteins,,NP_058898,,"6,10b",
,cytochrome c oxidase subunit II ,,COX2,,Metabolism Proteins (energy metabolism),,NP_007227,,6,
,"cytochrome P450, family 1, subfamily a, polypeptide 1 ",,Cyp1a1,,Metabolism Proteins,,NP_036672,,6,
,"cytochrome P450, family 2, subfamily c, polypeptide 70",,Cyp2c70,,Metabolism Proteins,,NP_612521,,6,
,"cytochrome P450, family 4, subfamily b, polypeptide 1",,Cyp4b1,,Metabolism Proteins,,NP_058695,,6,
,defender against cell death 1,,Dad1,,Miscellaneous,,NP_620265,,"5,6",
,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDasubunit precursor ,,RPN2,,Biosynthetic Protein,,NP_113886,,"6,10b",
,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDasubunit precursor ,,RPN1,,Biosynthetic Protein,,NP_037199,,10b,
,dolichyl-di-phosphooligosaccharide-protein glycotransferase ,,Ddost,,Biosynthetic Protein,,NP_001012104,,5,
,Ectonucleotide pyrophosphatase/phosphodiesterase 1 ,,ENPP1,,Signal Proteins,,NP_445987,,10b,
,"EGP-314, tumor-associated calcium signal transducer 1",,Tacstd1,,Miscellaneous,,NP_612550,,"3,4,5",
,endomucin,,Emcn,,Adhesion Proteins and Collagens,,NP_001004228,,5,
,endoplasmic retuclum protein 29,,Erp29,,Biosynthetic Protein,,NP_446413,,"5,6",
,endoplasmin; GRP94; tumor rejection antigen gp96 ,,Tra1,,Chaperone,,NP_035761,,5,
,endothelial type gp91-phox gene,,Cybb,,Metabolism Proteins (energy metabolism),,NP_076455,,2,
,Epithelial-cadherin precursor ,,CDH1,,Adhesion proteins and collagens,,NP_112624,,"6,10c,10b",
,flotillin 1,,Flot1,,Membrane Trafficking Proteins,,NP_073192,,6,
,Frizzled 1 precursor ,,FZD1,,Membrane Receptors,,NP_067089,,10b,
,FXYD4; corticosteroid-induced protein precursor,,Fxyd4,,Binding Protein,,NP_071783,,5,
,"glucose regulated protein, 58 kDa; GRP58",,Grp58;Pdia3,,Biosynthetic Protein,,NP_059015,,"2,3,4,5,6,7",
,glucosidase 1,,Gcs1,,Biosynthetic Protein,,NP_113937,,5,
,Glutamate [NMDA] receptor subunit epsilon 1 precursor ,,Grin2a,,Transporters and Channels,,NP_036705,,6,
,Glutamate [NMDA] receptor subunit epsilon 4 precursor ,,GRIN2D,,Membrane receptors,,NP_073634,,10a,
,"glutamate receptor, ionotropic, AMPA1 ",,Gria1,,Transporters and Channels,,NP_113796,,6,
,"glutamate receptor, ionotropic, kainate 4 precursor ",,Grik4,,Transporters and Channels,,NP_036704,,6,
,"glutamate receptor, metabotropic 4",,Grm4,,G-protein Coupled Receptors,,NP_073157,,6,
,Golgi apparatus protein 1 precursor ,,GLG1,,Adhesion Proteins and Collagens,,NP_058907,,"6,10b",
,G-protein coupled receptor 64 precursor ,,GPR64,,Membrane receptors,,NP_852031,,10a,
,Huntingtin ,,Hd,,Cytoskeletal Proteins and Linkers/Molecular Motors,,XP_001058820,,6,
,hypothetical protein LOC361118,,RGD1309676,,Miscellaneous,,NP_001014162,,5,
,"inositol 1, 4, 5-triphosphate receptor 3",,Itpr3,,Transporters and Channels,,NP_037270,,6,
,"Inositol 1,4,5-trisphosphate receptor type 1 ",,ITPR1,,Transporters and channels,,NP_001007236,,"5,6,10c",
,"Inositol 1,4,5-trisphosphate receptor type 2 ",,ITPR2,,Transporters and channels,,NP_112308,,"6,10c",
,Insulin-like growth factor 1 receptor precursor ,,IGF1R,,Membrane Receptors,,NP_434694,,10b,
,insulin-like growth factor 2 receptor,,Igf2r,,Signal Proteins,,NP_036888,,5,
,integrin alpha 2 ,,Itga2,,Adhesion Proteins and Collagens,,NP_032422,,5,
,integrin alpha 3 ,,Itga3,,Adhesion Proteins and Collagens,,NP_038593,,5,
,integrin alpha 7,,Itga7,,Adhesion Proteins and Collagens,,NP_110469,,6,
,integrin alpha V ,,Itgav,,Adhesion Proteins and Collagens,,NP_032428,,5,
,Integrin alpha-1 precursor ,,ITGA1,,Adhesion proteins and collagens,,NP_112256,,"10c,10b",
,Integrin beta-1 precursor ,,ITGB1,,Adhesion Proteins and Collagens,,NP_058718,,"5,6,10b",
,Intercellular adhesion molecule 1 precursor ,,ICAM1,,Adhesion proteins and collagens,,NP_037099,,10c,
,latrophilin 2,,Lphn2,,G-protein Coupled Receptors,,NP_599235,,8,
,"lectin, mannose-binding 2 ",,Lman2,,Biosynthetic Protein,,NP_080104,,5,
,leucine zipper-EF-hand containing transmembrane protein 1,,Letm1,,Miscellaneous,,NP_001005884,,6,
,Lipid phosphate phosphohydrolase 3 ,,PPAP2B,,Metabolism proteins,,NP_620260,,10c,
,Lipoprotein lipase precursor ,,LPL,,Metabolism proteins,,NP_036730,,10a,
,Low-density lipoprotein receptor-related protein 4 precursor ,,LRP4,,Membrane receptors,,NP_112612,,10a,
,luteinizing hormone/choriogonadotropin receptor,,Lhcgr,,G-protein Coupled Receptors,,NP_037110,,6,
,lysosomal membrane glycoprotein 2,,Lamp2,,Protein Degradation Pathways,,NP_058764,,5,
,Lysosome-associated membrane glycoprotein 1 precursor ,,LAMP1,,Membrane trafficking proteins,,NP_036989,,"5,10c",
,membrane bound C2 domain containing protein; GLUT4 vesicle protein,,Mbc2,,Miscellaneous,,NP_058945,,5,
,Microsomal signal peptidase 25 kDa subunit ,,Spc25,,Biosynthetic Protein,,NP_079944,,"4,5",
,Mitochondrial 2-oxoglutarate/malate carrier protein ,,SLC25A11,,Transporters and channels,,NP_071793,,10c,
,Monocarboxylate transporter 2 ,,SLC16A7,,Transporters and channels,,NP_058998,,10c,
,Monocyte differentiation antigen CD14 precursor ,,CD14,,Signal proteins,,NP_068512,,10c,
,Neural cell adhesion molecule L1 precursor ,,L1CAM,,Adhesion Proteins and Collagens,,NP_059041,,10b,
,Neurexin 4; contactin associated protein 1 ,,Cntnap1,,Adhesion Proteins and Collagens,,NP_114450,,6,
,Neurogenic locus notch homolog protein 1 precursor,,Notch1,,Signal Proteins,,XP_342393,,6,
,Neuropilin-1 precursor ,,NRP1,,Membrane Receptors,,NP_659566,,10b,
,notch gene homolog 2,,Notch2,,Signal Proteins,,NP_077334,,6,
,Notch gene homolog 3,,Notch3,,Signal Proteins,,NP_064472,,6,
,Palmitoyltransferase ZDHHC7 ,,ZDHHC7,,Biosynthetic proteins,,NP_596885,,10a,
,pantophysin; synaptophysin-like protein,,Sypl,,Membrane Trafficking Proteins,,NP_001014285,,5,
,peripherin 2,,Prph2,,Adhesion Proteins and Collagens,,NP_037153,,6,
,"Phosphate carrier protein, mitochondrial precursor ",,SLC25A3,,Transporters and channels,,NP_620800,,"4,6,10c,10b",
,"phosphatidylinositol glycan, class S",,Pigs,,Miscellaneous,,NP_001006602,,6,
,Plasma membrane calcium-transporting ATPase 1,,Atp2b1,,Ion Pumps,,NP_445763,,6,
,plasmalemma vesicle associated protein,,Plvap,,Membrane Trafficking Proteins,,NP_064471,,5,
,Podocalyxin precursor,,PODXL,,Adhesion proteins and collagens,,NP_620203,,"10c,10b",
,Potassium channel subfamily K member 13 ,,KCNK13,,Transporters and channels,,NP_071629,,10a,
,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1",,Kcnn1,,Transporters and Channels,,NP_062186,,8,
,Potassium voltage-gated channel subfamily D member 3 ,,KCND3,,Transporters and channels,,NP_113927,,10a,
,"potassium voltage-gated channel, subfamily H ",,Kcnh5,,Transporters and Channels,,NP_598294,,6,
,"potassium voltage-gated channel, subfamily H, member 6",,Kcnh6,,Transporters and Channels,,NP_446389,,6,
,"potassium voltage-gated channel, subfamily Q, member 3",,Kcnq3,,Transporters and Channels,,NP_113785,,6,
,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gatedchannel 1,,HCN1,,Transporters and channels,,NP_445827,,10a,
,PREDICTED: oxidation resistance 1,,Oxr1,,Miscellaneous,,XP_576258,,8,
,PREDICTED: progesterone receptor membrane component 1,,Pgrmc1,,Membrane Receptor,,NP_068534,,"5,6,8",
,Probable G-protein coupled receptor 116 precursor ,,GPR116,,Membrane Receptors,,NP_620810,,10b,
,progesterone receptor membrane component 2,,Pgrmc2,,Membrane Receptor,,NP_001008375,,8,
,"prolyl 4-hydroxylase, beta polypeptide",,P4hb,,Biosynthetic Protein,,NP_037130,,"5,6",
,prostaglandin F receptor,,Ptgfr,,G-protein Coupled Receptors,,NP_037247,,6,
,Prostaglandin F2 receptor negative regulator precursor ,,PTGFRN,,Miscellaneous,,NP_062116,,10b,
,protein disulfide isomerase-associated 4,,Erp70,,Biosynthetic Protein,,NP_446301,,6,
,Protein disulfide-isomerase A6 precursor,,Pdia6,,Biosynthetic Protein,,NP_001004442,,2,
,Protein disulfide-isomerase A6 precursor; thioredoxin domain containing 7,,Txndc7,,Biosynthetic Protein,,NP_001004442,,"5,6",
,Protein KIAA0152 precursor,,KIAA0152,,Miscellaneous proteins,,NP_055545,,"5,10c",
,proteolipid protein 2,,Plp2,,Miscellaneous,,NP_997484,,5,
,Protocadherin: Fat 2 precursor ,,Fath2,,Adhesion Proteins and Collagens,,NP_075243,,6,
,receptor guanylate cyclase GC-D; similar to ANP receptor,,Gucy2d,,Guanylyl Cyclases and Nitric Oxide Synthases,,NP_570093,,6,
,reticulon 4; Nogo protein; Foocen; Glut4 vesicle 20 kDa protein,,RTN4,,Membrane trafficking proteins,,NP_114019,,"5,6,8,10c",
,"RT1 class I histocompatibility antigen, AA alpha chain precursor",,RT1-A2,,Miscellaneous,,NP_001008829,,6,
,secretory carrier membrane protein 1 ,,Scamp1,,Membrane Trafficking Proteins,,NP_083429,,5,
,secretory carrier membrane protein 2,,Scamp2,,Membrane Trafficking Proteins,,NP_076445,,5,
,secretory carrier membrane protein 3 ,,Scamp3,,Membrane Trafficking Proteins,,NP_036016,,5,
,semaphorin 6c,,Sema6c,,Adhesion Proteins and Collagens,,NP_059004,,6,
,Serine/threonine-protein kinase receptor R3 precursor ,,ACVRL1,,Membrane receptors,,NP_071886,,10a,
,"seven-pass G-type receptor 2, cadherin EGF LAG ",,Celsr2,,G-protein Coupled Receptors,,NP_112609,,6,
,"seven-pass G-type receptor 3, cadherin EGF LAG  ",,Celsr3,,G-protein Coupled Receptors,,NP_112610,,"6,8",
,Sideroflexin-3,,SFXN3,,Transporters and channels,,NP_075237,,10c,
,signal peptidase complex 18kD,,Spc18,,Biosynthetic Protein,,NP_113911,,"5,6",
,signal sequence receptor 4,,Ssr4,,Biosynthetic Protein,,NP_058895,,5,
,"signal sequence receptor, alpha ",,Ssr1,,Biosynthetic Protein,,NP_001008891,,5,
,similar to gp250 precursor ,,Sorl1,,Membrane Trafficking Proteins,,XP_217115,,5,
,similar to Myoferlin ,,LOC309499,,Miscellaneous,,XP_220031,,5,
,similar to syntaxin 16 isoform b ,,Stx16,,Membrane Trafficking Proteins,,XP_342596,,5,
,similar to Transmembrane protein 16F ,,Tmem16f,,Miscellaneous,,XP_235640,,4,
,Sodium- and chloride-dependent taurine transporter,,SLC6A6,,Transporters and channels,,NP_058902,,10a,
,sodium channel 25,,Scn9a,,Transporters and Channels,,NP_579823,,6,
,Sodium channel protein type 5 alpha subunit ,,SCN5A,,Transporters and channels,,NP_037257,,10a,
,"sodium channel, voltage-gated, type 4, alpha polypeptide",,Scn4a,,Transporters and Channels,,NP_037310,,5,
,"sodium channel, voltage-gated, type11, alpha polypeptide",,Scn11a,,Transporters and Channels,,NP_062138,,6,
,Sodium/hydrogen exchanger 2 ,,SLC9A2,,Transporters and channels,,NP_036785,,10a,
,solute carrier family 12 member 5,,Slc12a5,,Transporters and Channels,,NP_599190,,6,
,solute carrier family 14 ,,Slc14a2,,Transporters and Channels,,NP_062220,,8,
,"solute carrier family 2, member 1",,Slc2a1,,Transporters and Channels,,NP_620182,,6,
,"solute carrier family 25, member 4",,SLC25A4,,Transporters and channels,,NP_445967,,"3,4,10c,10b",
,"solute carrier family 25, member 5",,SLC25A5,,Transporters and channels,,NP_476443,,"3,4,5,6,10c,10b",
,"solute carrier family 5, member 1",,Slc5a1,,Transporters and Channels,,NP_037165,,6,
,"solute carrier family 6, member 3",,Slc6a3,,Transporters and Channels,,NP_036826,,6,
,Sortilin ,,Sort1,,Membrane Trafficking Proteins,,XP_342318,,5,
,Sphingosine 1-phosphate receptor Edg-8 ,,EDG8,,Membrane receptors,,NP_068543,,10a,
,sphingosine phosphate lyase 1,,Sgpl1,,Metabolism Proteins (energy metabolism),,NP_775139,,6,
,squalene epoxidase,,Sqle,,Steroid Metabolizing Enzymes,,NP_058832,,6,
,suppression of tumorigenicity 14,,St14,,Peptidases,,XP_346822,,8,
,Synaptic glycoprotein SC2,,Gpsn2,,Steroid Metabolizing Enzymes,,NP_612558,,6,
,synaptogyrin 2; cellugyrin,,Syngr2,,Membrane Trafficking Proteins,,NP_446005,,5,
,synaptotagmin 13,,Syt13,,Membrane Trafficking Proteins,,NP_110466,,5,
,synaptotagmin 15,,Sytl5,,Membrane Trafficking Proteins,,NP_848016,,6,
,syntaxin 12,,Stx12,,Membrane Trafficking Proteins,,NP_075228,,5,
,syntaxin 5a,,Stx5a,,Membrane Trafficking Proteins,,NP_113892,,5,
,Syntaxin 7,,STX7,,Membrane trafficking proteins,,NP_068641,,"4,5,10c",
,Syntaxin 8,,STX8,,Membrane trafficking proteins,,NP_113844,,10a,
,T-cell surface glycoprotein CD1d precursor ,,CD1D,,Adhesion proteins and collagens,,NP_058775,,10c,
,Thy-1 membrane glycoprotein precursor ,,THY1,,Adhesion proteins and collagens,,NP_036805,,10c,
,Transferrin receptor protein 1 ,,Tfrc,,Binding Protein,,XP_341000,,6,
,"transforming growth factor, beta receptor 1 ",,Tgfbr1,,Signal Proteins,,NP_036907,,6,
,trans-golgi network protein 1,,Tgoln2,,Membrane Trafficking Proteins,,NP_620195,,6,
,"transient receptor potential cation channel, subfamily M, member 8",,Trpm8,,Transporters and Channels,,NP_599198,,6,
,transmembrane 9 superfamily member 2,,Tm9sf2,,Miscellaneous,,NP_001005554,,6,
,Transmembrane emp24 domain containing protein 4 precursor ,,Tmed4,,Membrane Trafficking Proteins,,NP_598781,,5,
,"Transmembrane protease, serine 9 ",,TMPRSS9,,Metabolism proteins,,XP_987964,,10a,
,transmembrane protein 4 ,,Tmem4,,Miscellaneous,,NP_064337,,5,
,transmembrane trafficking protein 21,,Tmp21,,Membrane Trafficking Proteins,,NP_445919,,"5,6",
,tuberous sclerosis 1,,Tsc1,,Miscellaneous,,NP_068626,,6,
,tuberous sclerosis 2,,Tsc2,,Miscellaneous,,NP_036812,,6,
,Tyrosine-protein kinase receptor TYRO3 precursor ,,TYRO3,,Membrane receptors,,NP_058788,,10a,
,UDP-glucose ceramide glucosyltransferase-like 1,,Ugcgl1,,Biosynthetic Protein,,NP_598280,,5,
,Uromodulin precursor ,,UMOD,,Miscellaneous proteins,,NP_058778,,10c,
,VAMP-associated protein B,,Vapb,,Membrane Trafficking Proteins,,NP_068619,,5,
,vesicle transport through interaction with t-SNAREs homolog 1A,,Vti1a,,Membrane Trafficking Proteins,,NP_075589,,5,
,vesicle-associated membrane protein 2,,Vamp2,,Membrane Trafficking Proteins,,NP_036795,,5,
,vesicle-associated membrane protein 3,,Vamp3,,Membrane Trafficking Proteins,,NP_476438,,5,
,Vesicle-associated membrane protein-associated protein A ,,VAPA,,Membrane trafficking proteins,,NP_113819,,"5,6,10c",
,Vitamin K-dependent gamma-carboxylase ,,GGCX,,Biosynthetic proteins,,NP_113944,,10a,
,voltage-dependent anion channel 3,,Vdac3,,Transporters and Channels,,NP_112645,,6,
,Voltage-dependent anion-selective channel protein 1 ,,VDAC1,,Transporters and channels,,NP_112643,,"3,4,5,6,10c,10c",
,Voltage-dependent anion-selective channel protein 2 ,,VDAC2,,Transporters and channels,,NP_112644,,"5,6,10c,10c,10b",
